sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,E2,r,nu,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,cable_wale_tension,cable_course_tension,verts_path,stress_path
2033,material_ext_nocable,3,False,1.1760344152904225,0.8187636736350801,46.11987951290937,785.4886641801639,13889.994538560177,3047.260981119586,4.558190002307216,0.12563375115977016,0.0,2986.99847267,2986.99847267,0.0,164.30272781,,,,
2031,material_ext_nocable,3,False,0.809883868397704,1.3552602867952122,54.12353202485558,1099.7639760471197,15986.652218329033,3175.2192191976196,5.03481842188171,0.18981095715566032,0.10950788,1101.7676407,1011.98982725,5.83166514,60.32206063,,,,
2030,material_ext_nocable,3,False,1.3154200461105021,1.2580015159200826,31.33167858312784,227.71931039454716,10053.894694232838,13114.641039257272,0.766616079245904,0.09494590904072697,0.1166086,4358.06554748,3718.85477655,21.88559753,239.76330811,,,,
2028,material_ext_nocable,3,False,1.1752239580115067,1.1229925982334001,39.8613865261784,1085.6442920026238,5704.044749223158,16959.129011956233,0.3363406661510618,0.2423811154660372,0.04332818,4847.39292956,4804.30183263,2.21647114,254.89058568,,,,
2020,material_ext_nocable,3,False,0.9483313287526477,1.0203861861347252,14.388285338118642,723.8972887820878,12103.545478191281,4236.434793921058,2.857012102619611,0.09839964895230284,0.01356032,6714.46965907,6710.63499746,0.33079436,392.57262334,,,,
2041,material_ext_nocable,3,False,0.9066409786092083,1.3729629289215723,88.37865219194161,1144.1794321975285,15540.973215923614,3646.184194128706,4.2622567562408324,0.16299626665351455,0.04761808,5440.90010753,5398.71768812,2.01477536,287.99530673,,,,
2042,material_ext_nocable,3,False,0.8022223967448655,1.1227770707994291,26.604902072480037,611.5502691438528,19585.303434601043,1930.742684821184,10.143922123115509,0.12031775521407267,0.0,1941.02919697,1941.02919697,0.0,105.74254944,,,,
2032,material_ext_nocable,3,False,1.3872657841467788,0.8448393165365875,32.75560326137737,1140.8483887701943,11135.513885347602,12641.03956214383,0.8809017510470554,0.2158945100326477,0.00280447,2928.42949178,2926.98656602,21.64476426,120.65537883,,,,
2037,material_ext_nocable,3,False,0.9465409350554054,1.2723428403503623,73.76329082345302,451.5151563880805,13089.113870636025,17222.85479775061,0.7599851490558654,0.14520843696646754,0.08875879,3992.73793774,3892.45159531,4.11652316,206.10186346,,,,
2039,material_ext_nocable,3,False,0.910927979359532,1.2223179522448455,32.55612428049002,952.9840524419731,8792.499660597523,19923.099241521097,0.4413218824043879,0.2496772783605568,0.0655569,3818.57230441,3746.79235696,4.73701599,203.49859391,,,,
2036,material_ext_nocable,3,False,0.8338805175039123,1.0565142168642776,40.326757861055924,548.0277071378821,18620.95236957022,16177.047308974901,1.1510723813757693,0.17828153207691178,0.13865978,1737.13716896,1564.56786098,10.18038236,86.25003689,,,,
2038,material_ext_nocable,3,False,1.2792462562574711,1.366301903342921,8.571257643769501,279.71834108562524,5908.858532045061,2814.8143831550756,2.0992000635657995,0.15412076017099888,0.17679507,2982.41526567,2379.79450878,29.5280797,127.2548129,,,,
2035,material_ext_nocable,3,False,0.9339041785489448,0.9419123645788263,74.91870464137867,1190.4191067454608,15124.478187385108,9478.205571832614,1.595711136750623,0.23225032954439004,0.19232124,2591.95011217,978.11579102,9.50012186,49.09810665,,,,
2044,material_ext_nocable,3,False,1.139278701059683,1.1990004971693689,9.556413536826312,701.4235420992276,12253.533974308355,14600.76217752953,0.8392393373249005,0.18549748693426862,0.0408462,7332.23295828,7304.05221242,3.15699927,435.35831731,,,,
2043,material_ext_nocable,3,False,1.0315555403549075,1.2291318041018435,4.014000237935062,304.37978052716767,11827.649848216364,2198.7650937703415,5.379223947900161,0.15517609336793306,0.27186676,1327.27014047,869.47681608,58.90661094,25.06381278,,,,
2047,material_ext_nocable,3,False,1.2529929284629715,1.3921926270040914,74.40854708136911,846.3788850470207,7013.17009162984,18802.648044301463,0.372988425625258,0.17269901733085588,0.13601964,3346.42473383,3074.62178181,19.28757084,151.85749492,,,,
2046,material_ext_nocable,3,False,1.0486070472351976,0.9571378267973767,23.399974195502402,978.5662264194318,17943.725335182644,3570.42139978977,5.025660370576758,0.2880327935163326,0.28486688,2483.38324015,1018.06549968,47.81533224,46.59238459,,,,
2045,material_ext_nocable,3,False,1.0281171033472647,0.8852484921095066,42.12872743408628,911.2957413874325,2501.2850992531335,5209.922531949698,0.48010024792385597,0.1949364699747157,0.02140331,5983.50067853,5975.82046695,0.31443814,348.89041257,,,,
2048,material_ext_nocable,3,False,1.2362857916005892,1.2524610439582233,25.985131238394935,974.1563754172629,15508.696563965224,19151.715788980175,0.8097810522485338,0.1313530786001249,0.3288495,2576.28809935,1320.35175839,50.0175886,57.95620903,,,,
2049,material_ext_nocable,3,False,1.1107937899511258,1.2163673578878071,5.005824486615472,287.2803579922282,5418.717307309196,14823.037093701018,0.3655605307506014,0.2214794936481565,0.18871007,4375.95047886,2528.55902909,26.05988499,166.75672542,,,,
2051,material_ext_nocable,3,False,1.0553212367646414,1.3159379038132624,47.034788265777514,590.5198480119914,18497.687798109302,13615.742759828378,1.3585515035349023,0.2872249222951634,0.16730979,1903.90395779,715.77922681,5.41436388,33.48480907,,,,
2052,material_ext_nocable,3,False,1.0640844703270065,1.363889639223554,40.73614834872222,334.4896090782818,19089.79355698113,4777.420389077719,3.9958370840934965,0.2709578885979138,0.22574511,2797.61187659,2055.88388331,37.20142477,110.24343192,,,,
2050,material_ext_nocable,3,False,1.2642940353456096,1.3609208868930505,66.89782484976531,332.8329634232695,8967.465535769028,1716.9681218867859,5.222849173177793,0.14782524972915523,0.063185,3583.4477742,3535.42199467,7.34434817,186.94712805,,,,
2053,material_ext_nocable,3,False,0.8627385062247772,1.1876172956471474,20.158740126576507,793.1886907876496,16660.46327027969,19738.186396569934,0.8440726485982986,0.22954065934539614,0.01695457,6474.918483,6468.77932476,0.3891548,389.36062507,,,,
2054,material_ext_nocable,3,False,0.8134348545326678,1.1018367464078687,0.14744163780584518,956.9620487446966,19238.644078860587,4759.633973204844,4.042042767819491,0.20488612678765528,0.31790229,2338.25878353,1036.4219027,26.37483607,35.94207608,,,,
2055,material_ext_nocable,3,False,0.8322286462837244,1.1119396722317942,70.18039216900435,690.7026550014616,2854.213073595365,8013.931523770063,0.3561564090146646,0.14419459201665832,0.13957135,2406.44845246,2137.80287917,8.58635726,123.2273072,,,,
